legacy_dir,kind,slug,title,description,ftp_zip_path,ftp_thumb_path,storage_key,cover_storage_key,file_name,file_size_bytes,mime_type,is_published,sort_order
"0033","wallpaper","wallpaper-0033","PHONE WALLPAPER EPISODE #0033 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0033.","whatif-ep/the-club/uploads/0033/0033.zip","","club/wallpapers/0033/0033.zip","","0033.zip",7633528,"application/zip",true,33
"0034","wallpaper","wallpaper-0034","PHONE WALLPAPER EPISODE #0034 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0034.","whatif-ep/the-club/uploads/0034/0034.zip","","club/wallpapers/0034/0034.zip","","0034.zip",4544668,"application/zip",true,34
"0035","wallpaper","wallpaper-0035","PHONE WALLPAPER EPISODE #0035 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0035.","whatif-ep/the-club/uploads/0035/0035.zip","","club/wallpapers/0035/0035.zip","","0035.zip",7563322,"application/zip",true,35
"0036","wallpaper","wallpaper-0036","PHONE WALLPAPER EPISODE #0036 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0036.","whatif-ep/the-club/uploads/0036/0036.zip","","club/wallpapers/0036/0036.zip","","0036.zip",4125498,"application/zip",true,36
"0037","wallpaper","wallpaper-0037","PHONE WALLPAPER EPISODE #0037 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0037.","whatif-ep/the-club/uploads/0037/0037.zip","","club/wallpapers/0037/0037.zip","","0037.zip",7504727,"application/zip",true,37
"0038","wallpaper","wallpaper-0038","PHONE WALLPAPER EPISODE #0038 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0038.","whatif-ep/the-club/uploads/0038/0038.zip","","club/wallpapers/0038/0038.zip","","0038.zip",7503677,"application/zip",true,38
"0039","wallpaper","wallpaper-0039","PHONE WALLPAPER EPISODE #0039 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0039.","whatif-ep/the-club/uploads/0039/0039.zip","","club/wallpapers/0039/0039.zip","","0039.zip",7097024,"application/zip",true,39
"0040","wallpaper","wallpaper-0040","PHONE WALLPAPER EPISODE #0040 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0040.","whatif-ep/the-club/uploads/0040/0040.zip","","club/wallpapers/0040/0040.zip","","0040.zip",7739743,"application/zip",true,40
"0041","wallpaper","wallpaper-0041","PHONE WALLPAPER EPISODE #0041 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0041.","whatif-ep/the-club/uploads/0041/0041.zip","","club/wallpapers/0041/0041.zip","","0041.zip",4693852,"application/zip",true,41
"0042","wallpaper","wallpaper-0042","PHONE WALLPAPER EPISODE #0042 | Smartphone Wallpaper (HD+QHD)","Download HD + QHD smartphone wallpapers for EPISODE #0042.","whatif-ep/the-club/uploads/0042/0042.zip","","club/wallpapers/0042/0042.zip","","0042.zip",6229963,"application/zip",true,42
